FastqFileAcc	Target	ExperimentAcc	ExperimentAcc share the same Target	PeakType	BedFileAcc from the same ExperimentAcc
ENCFF000NXJ	MEF2C	ENCSR000BNG	ENCSR000BNG	narrowPeak	ENCFF002CHD.bed
ENCFF000NXA	MEF2A	ENCSR000BKB	ENCSR000BKB	narrowPeak	ENCFF002CHC.bed
ENCFF000NXC	MEF2A	ENCSR000BKB	ENCSR000BKB	narrowPeak	ENCFF002CHC.bed
ENCFF000NXE	MEF2C	ENCSR000BNG	ENCSR000BNG	narrowPeak	ENCFF002CHD.bed
ENCFF649MUT	MTA2	ENCSR293QAR	ENCSR293QAR	narrowPeak	ENCFF593KRH.bed,ENCFF494SRY.bed,ENCFF407KWG.bed,ENCFF966RPL.bed,ENCFF197TYK.bed
ENCFF000OEJ	RXRA	ENCSR000BJD	ENCSR000BJD	narrowPeak	ENCFF002CHT.bed
ENCFF699UWV	ZBTB40	ENCSR189YYK	ENCSR189YYK	narrowPeak	ENCFF297SZY.bed,ENCFF742SNU.bed,ENCFF321DBH.bed,ENCFF501JIG.bed,ENCFF357WYN.bed
ENCFF019KRR	HDGF	ENCSR145XQO	ENCSR145XQO	narrowPeak	ENCFF816GZA.bed,ENCFF991QKE.bed,ENCFF432SFP.bed,ENCFF935HIG.bed,ENCFF637CIX.bed
ENCFF088UFA	HDGF	ENCSR145XQO	ENCSR145XQO	narrowPeak	ENCFF816GZA.bed,ENCFF991QKE.bed,ENCFF432SFP.bed,ENCFF935HIG.bed,ENCFF637CIX.bed
ENCFF000OEH	RXRA	ENCSR000BJD	ENCSR000BJD	narrowPeak	ENCFF002CHT.bed
ENCFF394TEH	PKNOX1	ENCSR711XNY	ENCSR711XNY	narrowPeak	ENCFF049YTC.bed,ENCFF020GMZ.bed,ENCFF583BIS.bed,ENCFF825QFX.bed,ENCFF618KHI.bed
ENCFF441MWI	RB1	ENCSR785OKZ	ENCSR785OKZ	narrowPeak	ENCFF936FBJ.bed,ENCFF452IKX.bed,ENCFF593XIS.bed,ENCFF601XVA.bed,ENCFF436OTJ.bed
ENCFF994FAH	WHSC1	ENCSR410HFN	ENCSR410HFN	narrowPeak	ENCFF357GJN.bed,ENCFF749ZCT.bed,ENCFF216PSI.bed,ENCFF453XJH.bed,ENCFF756HVY.bed
ENCFF629ZTW	RAD51	ENCSR482TWQ	ENCSR482TWQ	narrowPeak	ENCFF270NTV.bed,ENCFF445UJF.bed,ENCFF310LKB.bed,ENCFF014TGJ.bed,ENCFF388DPA.bed
ENCFF338YNC	KDM5A	ENCSR982FSK	ENCSR982FSK	narrowPeak	ENCFF756MMC.bed,ENCFF343ZXM.bed,ENCFF058MMF.bed,ENCFF443ZHQ.bed,ENCFF070LPO.bed
ENCFF641ITN	CBX8	ENCSR265MJJ	ENCSR265MJJ	narrowPeak	ENCFF276CGN.bed,ENCFF163MPJ.bed,ENCFF814NEN.bed,ENCFF571DSA.bed
ENCFF000OBB	POLR2A	ENCSR000BGD	ENCSR000BGD,ENCSR000DKT,ENCSR000EAD,ENCSR000EYW	narrowPeak	ENCFF002CHO.bed,ENCFF879SHG.bed,ENCFF591LRS.bed,ENCFF630QJJ.bed,ENCFF587YZD.bed,ENCFF120VUT.bed
